name,Scenario,State,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
nr_pub[2],s0,Jammu_and_Kashmir,7.722632842637855e-4,6.083905851220786e-8,3.942748856979309e-6,7.646335604925693e-4,7.695396938806088e-4,7.72209410665993e-4,7.749207024285538e-4,7.79967441037024e-4,4199.844971385129,1.001537115929375
nr_pub[3],s0,Jammu_and_Kashmir,7.003187785907832e-4,5.565321234541641e-8,3.642174908550876e-6,6.932550554958743e-4,6.978099027801581e-4,7.003004798798009e-4,7.027181479551526e-4,7.076056429972305e-4,4282.931434829777,1.0019808715305816
nr_pub[4],s0,Jammu_and_Kashmir,6.350788921576499e-4,5.529296260939214e-8,3.760746810695912e-6,6.281141568919517e-4,6.325129815004226e-4,6.349159436831872e-4,6.375372641826244e-4,6.427961541194291e-4,4626.0302830173005,1.001814809377838
nr_eng[1],s0,Jammu_and_Kashmir,8.925858705568651e-5,2.2518517776375076e-8,1.4288226706418196e-6,8.648443545767729e-5,8.828970986793885e-5,8.925984611928594e-5,9.021488650934506e-5,9.208900380037114e-5,4026.0305236553986,0.9995335603547876
nr_eng[2],s0,Jammu_and_Kashmir,8.094294161306498e-5,2.032732591938728e-8,1.2816336673505613e-6,7.846677093301457e-5,8.007468383654583e-5,8.093742441185054e-5,8.178975368477133e-5,8.34515227108945e-5,3975.2762477755095,0.999522938357295
nr_eng[3],s0,Jammu_and_Kashmir,7.340226779495953e-5,1.851020396148635e-8,1.1655929600359332e-6,7.111791891548307e-5,7.261512664044961e-5,7.340395661310617e-5,7.417169272483269e-5,7.572781540677133e-5,3965.2577535006403,0.9995123301040251
nr_eng[4],s0,Jammu_and_Kashmir,6.656431925243923e-5,1.7000486969498562e-8,1.0746550755092955e-6,6.445213299625703e-5,6.58271408296641e-5,6.656613305888003e-5,6.727141572697514e-5,6.868707764199326e-5,3995.9078556123923,0.9995025971888208
prv0,s0,Jharkhand,0.0026469730520328645,9.469232652485986e-6,4.15424689890375e-4,0.0019136293656204556,0.002355923382102964,0.002620132168253464,0.002907679884733702,0.0035295085780127074,1924.6644945336943,1.0003772419174797
pr_a,s0,Jharkhand,0.6661922653846967,9.523453226338294e-4,0.0704119428291894,0.5238462085234507,0.6195639814946733,0.6677088409445378,0.7171201672466834,0.7944548639988438,5466.429470610153,0.999444639894747
pr_s,s0,Jharkhand,0.262951940324076,9.505005521750935e-4,0.06590389110262582,0.14345476131236687,0.21680816786211513,0.26115954814088577,0.3050750114613984,0.40063929764749157,4807.47868089886,0.9999054372408512
